,Unnamed: 0,id_number,fiscal_year,department_name,vendor_name,transaction_date,dollar_amount,authority,btrc,government_activity,fund_group_name,fund_type,fund_name,fund,account_name,account_code,transaction_id,expenditure_type,fiscal_month_number,fiscal_year_month,fiscal_year_quarter,calendar_month_number,calendar_month_year,calendar_month,data_source,authority_name,department_number,vendor_id,zip,payment_method,payment_status,inv_num,inv_date,inv_line,inv_dist_line,po_num,description,detailed_item_description,procurement_organization,supplier_city,supplier_country,site_location,currency,value_of_spend,vendor_num,program,invoice_due_date,invoice_discount_due_date,discount,po_date,po_line_number,buyer_name,bu_name,sales_tax_percent,sales_tax,item_code,item_code_name,unit_price,quantity,receiver_id,settlement_judgment,authority_link
10,1066.0,6784274,2020,WATER AND POWER,US ROCK CORPORATION,2020-06-15T00:00:00.000,764.56,01785   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,POWER REVENUE FUND,704,POWER REVENUE FUND,51,589869,MATERIALS AND SUPPLIES,12,2020-12(JUN),2020-04,6,"JUNE,2020",JUNE,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2954,2020-05-27T00:00:00.000,1,1,75856,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,POWER REVENUE FUND,2020-06-21T00:00:00.000,2020-06-21T00:00:00.000,15.6,,,,,,,,,,,,,
11,1067.0,6784273,2020,WATER AND POWER,US ROCK CORPORATION,2020-06-03T00:00:00.000,1504.8,01785   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,POWER REVENUE FUND,704,POWER REVENUE FUND,51,589191,MATERIALS AND SUPPLIES,12,2020-12(JUN),2020-04,6,"JUNE,2020",JUNE,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2925,2020-05-15T00:00:00.000,1,1,53790,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,POWER REVENUE FUND,2020-06-09T00:00:00.000,2020-06-09T00:00:00.000,30.71,,,,,,,,,,,,,
12,1069.0,6784271,2020,WATER AND POWER,US ROCK CORPORATION,2020-05-19T00:00:00.000,451.77,01785   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,POWER REVENUE FUND,704,POWER REVENUE FUND,51,587617,MATERIALS AND SUPPLIES,11,2020-11(MAY),2020-04,5,"MAY,2020",MAY,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2880,2020-05-01T00:00:00.000,1,1,53760,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,POWER REVENUE FUND,2020-05-26T00:00:00.000,2020-05-26T00:00:00.000,9.22,,,,,,,,,,,,,
13,1071.0,6784269,2020,WATER AND POWER,US ROCK CORPORATION,2020-05-13T00:00:00.000,1226.49,01785   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,POWER REVENUE FUND,704,POWER REVENUE FUND,51,586684,MATERIALS AND SUPPLIES,11,2020-11(MAY),2020-04,5,"MAY,2020",MAY,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2859,2020-04-24T00:00:00.000,1,1,70525,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,POWER REVENUE FUND,2020-05-19T00:00:00.000,2020-05-19T00:00:00.000,25.03,,,,,,,,,,,,,
14,1072.0,6784268,2020,WATER AND POWER,US ROCK CORPORATION,2020-05-06T00:00:00.000,720.33,01785   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,POWER REVENUE FUND,704,POWER REVENUE FUND,51,585951,MATERIALS AND SUPPLIES,11,2020-11(MAY),2020-04,5,"MAY,2020",MAY,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2836,2020-04-17T00:00:00.000,1,1,55666,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,POWER REVENUE FUND,2020-05-12T00:00:00.000,2020-05-12T00:00:00.000,14.7,,,,,,,,,,,,,
15,1073.0,6784267,2020,WATER AND POWER,US ROCK CORPORATION,2020-04-27T00:00:00.000,370.25,01785   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,POWER REVENUE FUND,704,POWER REVENUE FUND,51,584067,MATERIALS AND SUPPLIES,10,2020-10(APR),2020-04,4,"APRIL,2020",APRIL,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2800,2020-04-08T00:00:00.000,1,1,53753,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,POWER REVENUE FUND,2020-05-03T00:00:00.000,2020-05-03T00:00:00.000,7.56,,,,,,,,,,,,,
16,1074.0,6784266,2020,WATER AND POWER,US ROCK CORPORATION,2020-04-22T00:00:00.000,2796.43,01907   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,POWER REVENUE FUND,704,POWER REVENUE FUND,51,583198,MATERIALS AND SUPPLIES,10,2020-10(APR),2020-04,4,"APRIL,2020",APRIL,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2793,2020-04-03T00:00:00.000,1,1,65817,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,POWER REVENUE FUND,2020-04-28T00:00:00.000,2020-04-28T00:00:00.000,57.07,,,,,,,,,,,,,
17,1075.0,6784265,2020,WATER AND POWER,US ROCK CORPORATION,2020-04-22T00:00:00.000,2581.81,01907   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,POWER REVENUE FUND,704,POWER REVENUE FUND,51,583197,MATERIALS AND SUPPLIES,10,2020-10(APR),2020-04,4,"APRIL,2020",APRIL,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2792,2020-04-03T00:00:00.000,1,1,65817,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,POWER REVENUE FUND,2020-04-28T00:00:00.000,2020-04-28T00:00:00.000,52.69,,,,,,,,,,,,,
18,1076.0,6784264,2020,WATER AND POWER,US ROCK CORPORATION,2020-04-22T00:00:00.000,1367.98,01907   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,POWER REVENUE FUND,704,POWER REVENUE FUND,51,583188,MATERIALS AND SUPPLIES,10,2020-10(APR),2020-04,4,"APRIL,2020",APRIL,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2781,2020-04-03T00:00:00.000,1,1,65777,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,POWER REVENUE FUND,2020-04-28T00:00:00.000,2020-04-28T00:00:00.000,27.92,,,,,,,,,,,,,
19,1077.0,6784263,2020,WATER AND POWER,US ROCK CORPORATION,2020-04-15T00:00:00.000,4457.03,01785   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,POWER REVENUE FUND,704,POWER REVENUE FUND,51,582681,MATERIALS AND SUPPLIES,10,2020-10(APR),2020-04,4,"APRIL,2020",APRIL,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2752,2020-03-27T00:00:00.000,1,1,53788,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,POWER REVENUE FUND,2020-04-21T00:00:00.000,2020-04-21T00:00:00.000,90.96,,,,,,,,,,,,,
20,2575.0,6782714,2020,WATER AND POWER,US ROCK CORPORATION,2020-06-03T00:00:00.000,732.97,01785   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,WATER REVENUE FUND,705,WATER REVENUE FUND,1,173142,MATERIALS AND SUPPLIES,12,2020-12(JUN),2020-04,6,"JUNE,2020",JUNE,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2920,2020-05-15T00:00:00.000,1,1,74872,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,WATER REVENUE FUND,2020-06-09T00:00:00.000,2020-06-09T00:00:00.000,14.96,,,,,,,,,,,,,
21,2576.0,6782713,2020,WATER AND POWER,US ROCK CORPORATION,2020-06-03T00:00:00.000,1497.54,01785   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,WATER REVENUE FUND,705,WATER REVENUE FUND,1,173141,MATERIALS AND SUPPLIES,12,2020-12(JUN),2020-04,6,"JUNE,2020",JUNE,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2919,2020-05-15T00:00:00.000,1,1,74859,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,WATER REVENUE FUND,2020-06-09T00:00:00.000,2020-06-09T00:00:00.000,30.56,,,,,,,,,,,,,
22,2580.0,6782709,2020,WATER AND POWER,US ROCK CORPORATION,2020-05-19T00:00:00.000,2236.33,01785   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,WATER REVENUE FUND,705,WATER REVENUE FUND,1,171237,MATERIALS AND SUPPLIES,11,2020-11(MAY),2020-04,5,"MAY,2020",MAY,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2872,2020-05-01T00:00:00.000,1,1,72105,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,WATER REVENUE FUND,2020-05-26T00:00:00.000,2020-05-26T00:00:00.000,45.64,,,,,,,,,,,,,
23,2581.0,6782708,2020,WATER AND POWER,US ROCK CORPORATION,2020-05-19T00:00:00.000,739.94,01785   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,WATER REVENUE FUND,705,WATER REVENUE FUND,1,171234,MATERIALS AND SUPPLIES,11,2020-11(MAY),2020-04,5,"MAY,2020",MAY,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2870,2020-05-01T00:00:00.000,1,1,72102,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,WATER REVENUE FUND,2020-05-26T00:00:00.000,2020-05-26T00:00:00.000,15.1,,,,,,,,,,,,,
24,2582.0,6782707,2020,WATER AND POWER,US ROCK CORPORATION,2020-04-28T00:00:00.000,2962.35,01785   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,WATER REVENUE FUND,705,WATER REVENUE FUND,1,169273,MATERIALS AND SUPPLIES,10,2020-10(APR),2020-04,4,"APRIL,2020",APRIL,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2805,2020-04-09T00:00:00.000,1,1,68267,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,WATER REVENUE FUND,2020-05-04T00:00:00.000,2020-05-04T00:00:00.000,60.46,,,,,,,,,,,,,
25,2583.0,6782706,2020,WATER AND POWER,US ROCK CORPORATION,2020-04-27T00:00:00.000,2251.3,01785   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,WATER REVENUE FUND,705,WATER REVENUE FUND,1,167975,MATERIALS AND SUPPLIES,10,2020-10(APR),2020-04,4,"APRIL,2020",APRIL,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2759,2020-04-08T00:00:00.000,1,1,67024,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,WATER REVENUE FUND,2020-05-03T00:00:00.000,2020-05-03T00:00:00.000,45.95,,,,,,,,,,,,,
26,2584.0,6782705,2020,WATER AND POWER,US ROCK CORPORATION,2020-04-27T00:00:00.000,785.77,01785   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,WATER REVENUE FUND,705,WATER REVENUE FUND,1,167973,MATERIALS AND SUPPLIES,10,2020-10(APR),2020-04,4,"APRIL,2020",APRIL,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2761,2020-04-08T00:00:00.000,1,1,67028,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,WATER REVENUE FUND,2020-05-03T00:00:00.000,2020-05-03T00:00:00.000,16.04,,,,,,,,,,,,,
27,2585.0,6782704,2020,WATER AND POWER,US ROCK CORPORATION,2020-04-27T00:00:00.000,769.35,01785   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,WATER REVENUE FUND,705,WATER REVENUE FUND,1,167972,MATERIALS AND SUPPLIES,10,2020-10(APR),2020-04,4,"APRIL,2020",APRIL,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2775,2020-04-08T00:00:00.000,1,1,67028,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,WATER REVENUE FUND,2020-05-03T00:00:00.000,2020-05-03T00:00:00.000,15.7,,,,,,,,,,,,,
28,2586.0,6782703,2020,WATER AND POWER,US ROCK CORPORATION,2020-04-27T00:00:00.000,2890.43,01785   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,WATER REVENUE FUND,705,WATER REVENUE FUND,1,167971,MATERIALS AND SUPPLIES,10,2020-10(APR),2020-04,4,"APRIL,2020",APRIL,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2762,2020-04-08T00:00:00.000,1,1,67030,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,WATER REVENUE FUND,2020-05-03T00:00:00.000,2020-05-03T00:00:00.000,58.99,,,,,,,,,,,,,
29,2587.0,6782702,2020,WATER AND POWER,US ROCK CORPORATION,2020-04-27T00:00:00.000,2997.68,01785   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,WATER REVENUE FUND,705,WATER REVENUE FUND,1,167959,MATERIALS AND SUPPLIES,10,2020-10(APR),2020-04,4,"APRIL,2020",APRIL,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2763,2020-04-08T00:00:00.000,1,1,53755,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,WATER REVENUE FUND,2020-05-03T00:00:00.000,2020-05-03T00:00:00.000,61.18,,,,,,,,,,,,,
30,2588.0,6782701,2020,WATER AND POWER,US ROCK CORPORATION,2020-04-15T00:00:00.000,2990.54,01785   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,WATER REVENUE FUND,705,WATER REVENUE FUND,1,166956,MATERIALS AND SUPPLIES,10,2020-10(APR),2020-04,4,"APRIL,2020",APRIL,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2740,2020-03-27T00:00:00.000,1,1,65333,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,WATER REVENUE FUND,2020-04-21T00:00:00.000,2020-04-21T00:00:00.000,61.03,,,,,,,,,,,,,
31,2589.0,6782700,2020,WATER AND POWER,US ROCK CORPORATION,2020-04-17T00:00:00.000,2308.04,01785   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,WATER REVENUE FUND,705,WATER REVENUE FUND,1,166953,MATERIALS AND SUPPLIES,10,2020-10(APR),2020-04,4,"APRIL,2020",APRIL,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2756,2020-03-30T00:00:00.000,1,1,65220,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,WATER REVENUE FUND,2020-04-24T00:00:00.000,2020-04-24T00:00:00.000,47.1,,,,,,,,,,,,,
32,2590.0,6782699,2020,WATER AND POWER,US ROCK CORPORATION,2020-04-17T00:00:00.000,1512.18,01785   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,WATER REVENUE FUND,705,WATER REVENUE FUND,1,166900,MATERIALS AND SUPPLIES,10,2020-10(APR),2020-04,4,"APRIL,2020",APRIL,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2750,2020-03-30T00:00:00.000,1,1,65225,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,WATER REVENUE FUND,2020-04-24T00:00:00.000,2020-04-24T00:00:00.000,30.86,,,,,,,,,,,,,
33,2591.0,6782698,2020,WATER AND POWER,US ROCK CORPORATION,2020-04-08T00:00:00.000,1521.45,01785   0,,"TRANSPORTATION, COMMERCE AND ENTERPRISE",PROPRIETARY,ENTERPRISE,WATER REVENUE FUND,705,WATER REVENUE FUND,1,166447,MATERIALS AND SUPPLIES,10,2020-10(APR),2020-04,4,"APRIL,2020",APRIL,LADWP,US ROCK CORPORATION,98.0,66827000,90305,CHECK,PAID,2731,2020-03-20T00:00:00.000,1,1,64046,MATERIALS AND SUPPLIES,MATERIALS AND SUPPLIES,LADWP,INGLEWOOD,USA,LOS ANGELES,USD,,066827000 - US ROCK CORPORATION,WATER REVENUE FUND,2020-04-14T00:00:00.000,2020-04-14T00:00:00.000,31.05,,,,,,,,,,,,,
